step,cefr_level,grammar_category,sub_category,guideword,learning_objective,example_sentence,lexical_range
670,B1,PRESENT,present simple,USE: MENTAL PROCESS VERBS,"Can use the present simple with an increasing a range of mental process verbs, including 'remember', 'understand', 'believe'.","I'm reading an adventure book, I don't remember the title but it's very boring!",2.0
671,B1,PRESENT,present simple,USE: SPEECH ACT VERBS,"Can use the present simple with a limited range of speech act verbs, including 'suggest', 'apologise', 'recommend'.","I suggest that if you travel, you should pay for your trip.",1.0
672,B1,PRESENT,present simple,USE: REPORTING VERBS,"Can use the present simple with a limited range of reporting verbs, including 'say', 'show'.","For example, I know a person that moved to my city two years ago, and now he says that it improved his social life.",1.0
673,B1,PRONOUNS,demonstratives,"USE: 'THIS', ALREADY MENTIONED","Can use 'this' as a pronoun to refer back to whole clauses or sentences, especially to highlight or continue an important topic.","To stay fit I'm eating lots of fruit and vegetables, but meat and fish, too. I think you should do this, too, if you haven't done it in the past.",
674,B1,PRONOUNS,demonstratives,FORM: 'THOSE',Can use 'those' as a pronoun with plural reference.  ►  noun phrases,"Most of my clothes are lemon, green or orange, those are my favourite colours!",
675,B1,PRONOUNS,demonstratives,"USE: 'THOSE', ALREADY MENTIONED",Can use 'those' as a pronoun to refer to things which have already been mentioned.  ►  noun phrases,Those are the things I like the most about her.,
676,B1,PRONOUNS,demonstratives,FORM: 'THESE',Can use 'these' as a pronoun with plural reference.  ►  noun phrases,"These are the most important years for us as teenagers, and they have to be the best years!",
677,B1,PRONOUNS,demonstratives,"USE: 'THESE', ALREADY MENTIONED",Can use 'these' as a pronoun to refer to something with immediate relevance which has already been mentioned.  ►  noun phrases  ►  pronouns: demonstrative,"He is very clever and generous, and these are the things that I like most about him.",
678,B1,PRONOUNS,demonstratives,"FORM/USE: 'THIS ONE', 'THAT ONE' SUBSTITUTION","Can use 'this one', 'that one' as a substitute for countable singular nouns that have previously been mentioned.",I don't usually wear dresses but I had to buy this one because I am going to be in a singing competition.,
679,B1,PRONOUNS,demonstratives,FORM: MODIFYING,Can use quantifying determiners + 'of' with demonstrative pronouns  ► determiners: demonstrative,"If you can't, you must choose one of these.",
680,B1,PRONOUNS,generic use,"USE: 'ONE', GENERAL, FORMAL","Can use 'one' to refer to people in general, in formal contexts.","The television, I think, is like a box where one can find anything: rubbish and good things.",
681,B1,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: OBJECT OR COMPLEMENT,Can use a wide range of indefinite pronouns as objects or complements.,"I often watch TV, because my computer is broken and I have nothing to do. (Georgia (Republic of); B1 THRESHOLD; 2007; Georgian; Pass)",3.0
682,B1,PRONOUNS,"indefinite - thing, -one, -body etc",FORM: SUBJECT,"Can use an increasing range of indefinite pronouns ('something', 'nobody') as subjects, with a singular verb.",I was so confused that I thought something was happening.,2.0
683,B1,PRONOUNS,"indefinite - thing, -one, -body etc","FORM/USE: PREMODIFIERS, INTENSIFYING","Can use premodifiers with indefinite pronouns, often to intensify.","You can find absolutely anything, whatever you need.",
684,B1,PRONOUNS,possessive,FORM: + 'OF YOURS' ,Can use the possessive pronoun 'yours' after noun + 'of'.,Maybe you can take a friend of yours with you there.,
685,B1,PRONOUNS,possessive,"FORM: COMPARATIVE CLAUSES WITH 'MINE', 'YOURS'","Can use the possessive pronouns 'mine' and 'yours', with singular reference, in comparative clauses after '(not) as … as'.",Hope you have a friend as good as mine!,
686,B1,PRONOUNS,possessive,General comment,,,
687,B1,PRONOUNS,possessive,FORM: 'YOURS' AS SUBJECT,"Can use the possessive pronoun 'yours', with singular reference, in subject position.",We bought it because yours is very old and sometimes stops working.,
688,B1,PRONOUNS,quantity,"FORM: SUBJECT AND OBJECT PRONOUNS, 'BOTH', 'A FEW', 'ANOTHER'","Can use 'both', 'a few', 'another' as subject and object pronouns.",[talking about two types of exercise] Both are going to keep you fit.,
689,B1,PRONOUNS,quantity,FORM: WITH 'OF' + OBJECT PRONOUN,"Can use an increasing range of pronouns ('some', 'a few', 'any', 'each') with 'of' followed by an object pronoun.",Of course some of them are closer than others but I love them all.,2.0
690,B1,PRONOUNS,reciprocal,FORM: 'EACH OTHER',Can use 'each other' as the object of a verb or complement of a preposition to talk about the mutual behaviour of two or more people.,We go to the same school so we see each other every day.,
691,B1,PRONOUNS,reflexive,"FORM: SAME SUBJECT AND OBJECT, SINGULAR ",Can use an increasing range of singular reflexive pronouns with an increasing range of verbs to refer to actions where the subject and object of the verb are the same.,I decided to talk to him and introduce myself.,2.0
692,B1,PRONOUNS,reflexive,FORM/USE: 'BY' + SINGULAR ,"Can use the singular reflexive pronouns 'myself', 'yourself', 'himself' and 'herself' with 'by' to mean alone, without any help.",I will ask my friends from the class and I will study by myself.,
693,B1,PRONOUNS,reflexive,"FORM: SINGULAR, AFTER PREPOSITIONS","Can use the singular reflexive pronouns 'myself', 'yourself', 'himself' and 'herself' after prepositions where the object of the preposition is the same as the subject of the verb.",He told me about himself and how he started playing the guitar.,
694,B1,PRONOUNS,reflexive,"USE: SINGULAR, FOR EMPHASIS","Can use the singular reflexive pronouns 'myself', 'yourself', 'himself' and 'herself' for emphasis.",The best solution will be if you decide yourself what to do.,
695,B1,PRONOUNS,subject/ object,FORM: (SUBJECT) USING 'IT' TO INTRODUCE,Can use dummy 'it' as a subject to introduce something the speaker or writer is going to refer to.,It is best to spend your time in the countryside.,1.0
696,B1,PRONOUNS,"substitution, one, ones, none","FORM: 'THIS ONE', 'THAT ONE'","Can use 'this one', 'that one' to refer to a singular countable noun.  ►  pronouns: demonstratives","I met many old friends there, because I was in another judo club before this one and my friends and I left the old one to join the 1.JCF, because we heard that this one is the best in the whole of Frankfurt.",
697,B1,PRONOUNS,"substitution, one, ones, none",FORM: 'WHICH ONE',Can use 'one' after 'which' in indirect questions to refer to one of two or more options.,"If you ask me which one I would choose, I would first go camping and then to Disneyland in Paris.",
698,B1,PRONOUNS,"substitution, one, ones, none",FORM: 'ONES',Can use 'ones' as a pronoun to substitute for plural nouns which have already been mentioned or are obvious from the context.,My pillows are getting old and I need new ones.,
699,B1,PRONOUNS,"substitution, one, ones, none","FORM/USE: PREMODIFIER + 'ONES', GENERAL REFERENCE ","Can use premodifiers with 'ones', to refer to something in general.",Our computers are out-dated and slow. I think we should replace them with new ones.,
700,B1,PRONOUNS,"substitution, one, ones, none",FORM: PRE-MODIFYING,Can use determiners + premodifers + 'ones'.,"We should buy some new copiers and some new faxes because the old ones are very slow, and one copier is already broken.",
701,B1,PRONOUNS,"substitution, one, ones, none","FORM/USE: POSTMODIFYING, SPECIFYING","Can use 'the ones' with a complement, to refer to something specific.","Weddings in our country? Well, they're pretty different from the ones in England.",
702,B1,QUESTIONS,alternatives,"FORM/USE: 'OR SOMETHING ELSE', VAGUE","Can form alternative question with 'or something else' as the second alternative to a noun phrase, to refer to something non-specific.","Shall we buy him a book, a CD or something else?",
703,B1,QUESTIONS,alternatives,FORM/USE: 'OR NOT',"Can form alternative questions using 'or not' to substitute for a clause, sometimes to express annoyance or impatience.","For a few seconds he was quiet. I couldn't wait, I asked nervously about his exam, did he pass or not?",
704,B1,QUESTIONS,alternatives,FORM: PHRASE + PHRASE,Can form alternative questions with two phrases combined with 'or'.,Is this area in the city or in the countryside?,
705,B1,QUESTIONS,alternatives,FORM: CLAUSE + CLAUSE,Can form alternative questions with two clauses combined with 'or'.,Are you still with him or did you two break up?,
706,B1,QUESTIONS,tags,FORM: AFFIRMATIVE MAIN CLAUSES + AFFIRMATIVE QUESTION TAGS ,Can use an increasing range of affirmative tags with affirmative clauses.,"Your boyfriend is also 16, is he?",2.0
707,B1,QUESTIONS,tags,FORM: AFFIRMATIVE MAIN CLAUSES + NEGATIVE QUESTION TAGS ,"Can use an increasing range of 'be', 'do', 'have' and modal verb tags with negative main clauses.","And so you're moving to a different area, aren't you?",2.0
708,B1,QUESTIONS,tags,FORM: NEGATIVE MAIN CLAUSES + AFFIRMATIVE QUESTION TAGS ,"Can use an increasing range of affirmative 'be', 'do' and 'have' tags with negative main clauses.","I mean, your parents don't like discos, do they?",2.0
709,B1,QUESTIONS,tags,FORM/USE: 'RIGHT' AS AN INFORMAL TAG,Can use 'right' as a tag in informal contexts.,"You are 14 years old, right?",
710,B1,QUESTIONS,wh-,FORM: NEGATIVE QUESTIONS WITH MODALS,Can use 'wh-'words + the negative form of modal verbs + subject + main verb to form 'wh-'questions.,Why can't you do both things?,
711,B1,QUESTIONS,yes/no,FORM: NEGATIVE QUESTIONS WITH 'BE',Can use main verb 'be' + 'n’t' to form negative 'yes/no' questions.,Aren't you excited about it?,
712,B1,QUESTIONS,yes/no,"FORM: NEGATIVE QUESTIONS, AUXILIARY VERBS",Can use auxiliary 'do' and 'have' + 'n’t' + subject + main verb to form negative 'yes/no' questions.,Don't you think so?,
713,B1,QUESTIONS,yes/no,FORM: NEGATIVE QUESTIONS MODAL VERBS,Can use modal verbs + 'not' + subject + main verb to form 'yes/no' questions.,Wouldn't you like to come?,
714,B1,QUESTIONS,yes/no,USE: SEEKING AGREEMENT,Can use negative 'yes/no' questions to involve the listener or reader by seeking agreement.,Finally two days ago I found it in my pocket! It's funny! Don't you think?,
715,B1,REPORTED SPEECH,reported speech,FORM: REPORTED 'YES-NO' QUESTIONS,"Can report questions using 'ask' + 'if' or 'whether' + clause, with a pronoun and tense shift where relevant.",You asked me if I like shopping.,
716,B1,REPORTED SPEECH,reported speech,FORM: REPORTED 'WH-' QUESTIONS,"Can report 'wh-'questions using a reporting verb + 'wh-'word + clause, with a change of pronoun and tense shift where relevant.",I asked why she was here.,
717,B1,REPORTED SPEECH,reported speech,"FORM: REPORTED STATEMENTS, PRONOUN AND TENSE SHIFT","Can report statements using a reporting clause with 'say' or 'tell' + 'that-'clause, with a pronoun and tense shift where relevant.",I immediately called her to see if everything was o.k. and she said that she had won the lottery and she wanted to give some of the money to me.,
718,B1,REPORTED SPEECH,reported speech,"FORM/USE: TEMPORAL SHIFTS, FUTURE",Can report speech about events in the future with and without backshifts for words relating to time.,At the airport they told him to come the next morning.,
719,B1,REPORTED SPEECH,reported speech,FORM: REPORTED REQUESTS AND COMMANDS,Can report requests and commands with 'ask' or 'tell' + direct object and 'to-'infinitive.,She asked me to come back as soon as possible because my father is seriously ill.,
